	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	pop	super_pop
HG00369	-29.45524618751734	33.0374191486891	-10.247283327729578	-11.936803358716395	-0.725504926020419	-1.719018003047902	-11.533357932266853	11.131330100664794	-8.822888395790637	11.145934582426907	FIN	EUR
HG03740	-24.387664233395146	11.475021073289046	32.100067835946184	6.5632423128008135	3.4335437467562007	0.39591683859394744	-4.484376954349695	-4.710905139715155	-1.2029655295087636	4.318716621696022	STU	SAS
HG01341	-25.916133620795392	3.840434839310348	-22.761505395911822	31.955801722574357	-4.642656060576853	0.20035728983864814	3.83038861969627	-6.577802234355964	0.5226008649034057	1.2587101352423207	CLM	AMR
HG03547	87.8216269840488	-8.335483112244214	-0.5915816972196208	-0.4379001098091657	13.880373405298755	14.076675368871344	-0.12612587442614023	-3.942786079870058	-3.0880668912298948	-2.5548507538273406	MSL	AFR
HG01518	-27.88816678565091	41.94077499124452	-11.564247460435514	-17.341667675171156	8.473184499346806	-6.833711974880253	4.834890900611971	-2.7856756656951664	-2.8452630829846925	-6.24133443985227	IBS	EUR
HG00360	-29.819837607976268	39.23097999284733	-7.6992770407645725	-12.779897992312993	-10.078179772961514	6.2342254383505615	-3.0968914557614657	6.188466726100572	-8.147939770046985	6.164465346501006	FIN	EUR
HG02052	86.46000554302174	-8.377336028601901	2.0763802090099253	4.357182571266541	2.492552227983081	-2.070037284590799	2.7188454905011854	11.625100289119924	0.3671463445468171	4.962959536974895	ACB	AFR
HG00620	-41.790867620696716	-55.38623203734995	-2.099565818248909	-13.415383926696972	-3.8982912762056694	-0.194936256445118	-6.677837317994886	-0.11844304885147762	6.689442963879261	2.732360068363931	CHS	EAS
NA19063	-38.00461375683049	-47.290856940597536	-5.929918222817219	-7.962230764418856	11.03636470750661	-0.7645265581945806	-12.592323169308987	-0.5285515085876881	1.6131961901529173	0.7005948992982886	JPT	EAS
HG03520	87.22745028256263	-6.654210086040114	-2.3311296401938875	1.2233092733421065	0.17932809646271614	-1.0735604603134987	3.0255819428286808	14.168714224170214	6.139599905999169	6.5942622149815096	ESN	AFR
NA19059	-37.16629500391779	-45.19458680689345	-5.116452085434413	-8.127190583217013	9.550186129289488	-0.4284061708765669	-18.87440293297236	-2.2591701406616416	1.716344789873383	-3.8843435967737894	JPT	EAS
NA19108	84.04006804609827	-9.30094726653936	-0.4564608531063755	2.6925753377446684	-3.554535163413194	-6.375224351769274	-0.6563812288592571	13.298634946482327	-3.1722903127698108	2.843142354007642	YRI	AFR
HG03472	86.88556090852425	-4.960842143268194	-0.6550519051347857	1.3914569529376404	-15.431795589483157	9.254835266899125	-6.8079691419638735	-2.7380920491300107	-10.926893130268974	8.221060058575889	MSL	AFR
NA18988	-40.37980599949516	-53.906055350715604	-3.930200451448982	-7.005217019668689	-4.149250513610078	-0.28992288672235644	-20.42261788855626	7.398489900518748	-4.64092081967329	-4.3358327099194565	JPT	EAS
HG02064	-35.912719068248485	-52.454319367762345	1.9585321422712327	-14.32078027159369	-6.166760688291023	2.4008803238513985	10.595013863972465	1.321238363777546	-4.344536717656309	-1.6559654941749928	KHV	EAS
HG02660	-27.318028290202246	14.806899624863638	17.425459154302487	5.69033284083819	11.231413210410988	-1.6371066679700264	0.2899092120640525	-3.5551314758510513	-3.3064513795874046	-6.148115378447294	PJL	SAS
HG01924	-25.439251702850992	-9.620819199054896	-27.280800919375224	52.993017982465034	-3.1981539852411585	2.0943193293334805	2.700310193710644	2.969025400200382	3.5609914729823378	-3.9021508135502785	PEL	AMR
HG03397	83.37946650271245	-4.847613152254191	-0.34930088807925874	0.8427724495276478	6.0532011955692315	13.175568495333641	-6.328427393722254	-6.0578288334988475	3.9572346052977037	-0.04596203577157498	MSL	AFR
NA19471	76.94568518580982	-2.455666173588362	1.4860756187203088	-2.4631795727089125	-3.0192494516135673	-19.91893717913247	2.3257753468177382	-9.434019123343132	-15.514555530943479	4.90599692719953	LWK	AFR
