sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,pop,super_pop
NA18612,-27.033179632163304,-40.3523059362755,2.0217605063015034,-6.176660261662288,6.738136706038077,-5.559678145871077,-7.142450237961713,-1.216079916542621,-0.44679307854994815,-0.3576336811116349,10.133512282216397,-2.20601147051447,-2.8591552072318236,2.9518424688926674,4.768502978147497,0.9776972136450175,-3.647551574680132,8.119657078705952,5.219017772642561,-4.878989554949087,CHB,EAS
HG04175,-21.41014801920573,4.4939392831040195,-22.93061900917792,13.581757538002957,0.4639585208992082,1.5953656090384551,0.6442662514659789,-4.3440302375818165,6.65505045321435,-3.3439948656980323,7.831327566615204,5.115765482366955,-6.163591712693938,4.72963521042916,1.1893732792481777,-1.4352054046228078,0.7699604414661835,-0.8937241613989133,-3.542531145398066,-4.586586798930341,BEB,SAS
HG02685,-20.775768042402266,7.25204183595722,-21.195241321673954,10.442604768908136,7.979557711211635,-1.541026699283151,-3.405655973102481,2.4552736793576235,-5.000821435442857,-3.6084252539659665,2.4685439806977394,-0.8101636649067884,0.4576999105773425,-0.8616412866228789,8.009824405419407,2.0923496011116316,-6.542144993646462,-2.885544540292904,0.5314799731097448,-0.8302513039063336,PJL,SAS
HG03650,-23.44787400589235,11.162233452826985,-15.180441479691892,8.583582280427638,-10.469687479995564,-2.9898677229150805,-2.1567083022468703,7.438888660583605,-7.805238059741942,0.05778300543199931,1.4302475163019572,-1.7670103751921828,6.103971233179765,2.4936849834663,-3.1716949284773777,0.26574371121854956,-6.127398095266087,6.285577188145364,1.3724866067404244,-2.2622040473955836,PJL,SAS
HG01527,-20.012986207720324,28.825228296448138,2.2796719976759494,-11.85812659220831,1.2602291451245102,-0.6602974445214487,3.2237058810769263,5.138230901590585,-10.257220019408704,2.0070777642649906,2.5802446668783188,-3.002320610270027,-0.9722791777892654,-1.70088609717451,-2.9110619067587593,3.9168644250208384,-5.7157944438002595,-0.9789381352120115,-3.4570162235060615,-6.718643668798949,IBS,EUR
NA18991,-27.654954010297853,-34.679744196612866,2.810433394705462,-5.490862679287157,7.557261083528237,3.5005672715120393,5.971220791333964,-5.490273865851069,0.2469064690186338,0.33269996649980355,-0.4519593405347923,-1.6118646319146115,6.2986799477552555,-3.808164021095836,3.7577237004592763,7.0646529126356015,-0.027073337616567005,0.27314644636618823,3.4239233908715705,2.189674872783515,JPT,EAS
HG02070,-27.617471552057747,-42.23713488852063,-0.7673652547154486,-11.289231127128302,-4.867628994797735,0.2876550910832942,2.800468211389265,10.608782630237659,6.292096383862844,-1.0413356304353727,2.3980033854067297,4.660511989765653,-0.4526550487775109,2.5387495900994383,6.345048753940623,-6.6971448067813135,-4.791684131741977,2.160010600607432,2.947056677706115,-0.4711474563336656,KHV,EAS
HG00188,-21.95525680462331,24.583608140988847,7.554733622743325,-5.691079254706341,4.587292071360525,-1.5367353868635363,-2.2449218893248255,-4.131405961162405,4.603234112109082,-12.370735210479745,-10.129477676854961,4.856403901313209,0.9229003464362782,0.7037942588822421,0.017545099097974536,0.13568219135812143,-4.854357320834231,-1.5244144262010182,-2.4304961155407816,-0.26298432490972284,FIN,EUR
HG02888,58.78475240889792,-3.1808236141346615,2.8188549798912272,-0.5705433950214641,-2.465890057053614,15.58484380252482,-0.5708964422121867,1.3358993870560412,2.928537024881383,-5.844888525599461,6.790765820448487,4.839988585898419,1.0339513095010338,1.3407137021183837,0.3452819265478185,-4.6936726704012575,-8.688002496071771,6.488725504390782,2.8172111917315736,-4.7375578257884445,GWD,AFR
HG00369,-23.372589926835968,24.120060518510495,3.403199713830233,-10.792804316661536,-1.0608793766379823,-0.6815592769676172,8.82205824575301,-5.080051531816187,3.7737130513161126,-6.383072900980519,-5.151865298481595,4.087846530777507,8.979146064977265,0.7231325555996959,2.550365815869344,-9.848532267476223,0.9705021312727704,1.84158413454804,-5.9129842367039105,-5.135364085502038,FIN,EUR
